Position,Height above ground [m],Time,X [m],Y [m],Z [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
-94.59,,0.12,-82.39,0.0,43.88,,,,,,,,0.0,0.0,0.0,0.4,-0.14,0.2,-0.14,0.35,0.4,0.2,0.01,0.2,0.25,0.6,0.16,0.21,0.16,0.52,0.5,0.17,0.08,0.17,0.25,1.3,1.12,0.06,1.12,0.68,0.4,0.05,0.18,0.05,0.35,1.3,1.0,0.15,1.0,0.75,1.5,1.45,0.31,1.45,0.5,1.7,0.76,0.25,0.76,0.78,0.4,0.09,0.04,0.09,0.35,1.1,0.72,0.04,0.72,0.78,0.2,-0.12,0.07,-0.12,0.1
0.0,2.93,4.289,0.06,0.0,-0.01,0.0,-11.5,-11.5,0.0,0.0,0.0,0.0,95.05,-19.338,96.997,0.6,-0.01,0.15,-0.01,0.39,0.5,0.34,0.09,0.34,0.19,0.4,-0.36,0.02,-0.36,0.09,0.4,0.02,0.02,0.02,0.42,1.5,1.35,0.2,1.35,0.63,0.6,0.06,0.08,0.06,0.33,1.3,1.09,0.03,1.09,0.58,1.6,1.47,0.1,1.47,0.5,1.6,0.8,0.02,0.8,0.7,0.5,0.21,0.06,0.21,0.41,0.9,0.77,0.03,0.77,0.45,0.3,-0.04,0.0,-0.04,0.11
1.0,2.86,4.451,1.27,0.01,-0.23,4.4,-11.006,-12.986,0.376,5.607,2.341,-2.169,95.113,-15.201,96.32,0.8,0.03,0.25,0.03,0.49,0.5,0.36,0.13,0.36,0.23,0.4,-0.42,0.04,-0.42,0.04,0.3,-0.02,0.12,-0.02,0.32,1.4,1.25,0.04,1.25,0.54,0.8,0.24,0.21,0.24,0.4,1.4,1.19,0.07,1.19,0.6,1.4,1.23,0.27,1.23,0.55,1.5,0.78,0.07,0.78,0.61,0.5,0.22,0.07,0.22,0.42,0.9,0.72,0.04,0.72,0.53,0.3,-0.11,0.01,-0.11,0.11
2.0,2.83,4.542,2.37,0.02,-0.4,7.6,-9.152,-12.326,1.919,7.292,4.637,-4.372,95.622,-12.869,96.484,0.8,0.03,0.25,0.03,0.49,0.5,0.36,0.13,0.36,0.23,0.4,-0.42,0.04,-0.42,0.04,0.3,-0.02,0.12,-0.02,0.32,1.4,1.25,0.04,1.25,0.54,0.8,0.24,0.21,0.24,0.4,1.4,1.19,0.07,1.19,0.6,1.4,1.23,0.27,1.23,0.55,1.5,0.78,0.07,0.78,0.61,0.5,0.22,0.07,0.22,0.42,0.9,0.72,0.04,0.72,0.53,0.3,-0.11,0.01,-0.11,0.11
3.0,2.85,4.581,3.4,0.02,-0.54,11.1,-5.557,-10.132,2.687,6.163,6.864,-6.592,96.095,-12.956,96.965,0.8,0.03,0.25,0.03,0.49,0.5,0.36,0.13,0.36,0.23,0.4,-0.42,0.04,-0.42,0.04,0.3,-0.02,0.12,-0.02,0.32,1.4,1.25,0.04,1.25,0.54,0.8,0.24,0.21,0.24,0.4,1.4,1.19,0.07,1.19,0.6,1.4,1.23,0.27,1.23,0.55,1.5,0.78,0.07,0.78,0.61,0.5,0.22,0.07,0.22,0.42,0.9,0.72,0.04,0.72,0.53,0.3,-0.11,0.01,-0.11,0.11
4.0,2.87,4.619,4.44,0.01,-0.69,17.7,-0.187,-7.95,-0.298,5.045,8.999,-8.794,95.737,-15.651,97.008,0.8,0.03,0.25,0.03,0.49,0.5,0.36,0.13,0.36,0.23,0.4,-0.42,0.04,-0.42,0.04,0.3,-0.02,0.12,-0.02,0.32,1.4,1.25,0.04,1.25,0.54,0.8,0.24,0.21,0.24,0.4,1.4,1.19,0.07,1.19,0.6,1.4,1.23,0.27,1.23,0.55,1.5,0.78,0.07,0.78,0.61,0.5,0.22,0.07,0.22,0.42,0.9,0.72,0.04,0.72,0.53,0.3,-0.11,0.01,-0.11,0.11
5.0,2.9,4.658,5.47,0.02,-0.86,22.1,2.888,-3.96,2.537,4.768,11.056,-11.113,95.891,-16.167,97.244,0.8,0.03,0.25,0.03,0.49,0.5,0.36,0.13,0.36,0.23,0.5,-0.45,0.07,-0.45,0.06,0.3,-0.03,0.12,-0.03,0.3,1.2,1.22,0.07,1.22,0.26,0.8,0.24,0.21,0.24,0.4,1.3,1.14,0.01,1.14,0.56,1.4,1.2,0.28,1.2,0.54,1.4,0.77,0.18,0.77,0.54,0.5,0.2,0.05,0.2,0.42,0.9,0.68,0.01,0.68,0.53,0.3,-0.11,0.01,-0.11,0.11
6.0,2.94,4.696,6.49,0.02,-1.02,26.4,5.961,0.028,5.37,4.491,13.111,-13.43,96.045,-16.682,97.483,0.8,0.03,0.25,0.03,0.49,0.5,0.36,0.13,0.36,0.23,0.5,-0.45,0.07,-0.45,0.06,0.3,-0.03,0.12,-0.03,0.3,1.2,1.22,0.07,1.22,0.26,0.8,0.24,0.21,0.24,0.4,1.3,1.14,0.01,1.14,0.56,1.4,1.2,0.28,1.2,0.54,1.4,0.77,0.18,0.77,0.54,0.5,0.2,0.05,0.2,0.42,0.9,0.68,0.01,0.68,0.53,0.3,-0.11,0.01,-0.11,0.11
7.0,2.99,4.735,7.52,0.04,-1.19,29.7,8.395,2.936,7.39,4.293,15.078,-15.454,96.21,-17.52,97.792,0.8,0.03,0.25,0.03,0.49,0.5,0.36,0.13,0.36,0.23,0.5,-0.45,0.07,-0.45,0.06,0.3,-0.03,0.12,-0.03,0.3,1.2,1.22,0.07,1.22,0.26,0.8,0.24,0.21,0.24,0.4,1.3,1.14,0.01,1.14,0.56,1.4,1.2,0.28,1.2,0.54,1.4,0.77,0.18,0.77,0.54,0.5,0.2,0.05,0.2,0.42,0.9,0.68,0.01,0.68,0.53,0.3,-0.11,0.01,-0.11,0.11
8.0,3.04,4.773,8.54,0.06,-1.38,31.8,9.921,4.318,8.9,4.205,16.892,-17.064,96.343,-18.728,98.148,0.8,0.03,0.25,0.03,0.49,0.5,0.36,0.13,0.36,0.23,0.5,-0.45,0.07,-0.45,0.06,0.3,-0.03,0.12,-0.03,0.3,1.2,1.22,0.07,1.22,0.26,0.8,0.24,0.21,0.24,0.4,1.3,1.14,0.01,1.14,0.56,1.4,1.2,0.28,1.2,0.54,1.4,0.77,0.18,0.77,0.54,0.5,0.2,0.05,0.2,0.42,0.9,0.68,0.01,0.68,0.53,0.3,-0.11,0.01,-0.11,0.11
9.0,3.08,4.811,9.56,0.03,-1.59,36.4,11.414,5.694,16.008,4.118,18.467,-18.669,96.071,-19.175,97.966,0.8,0.03,0.25,0.03,0.49,0.5,0.36,0.13,0.36,0.23,0.5,-0.45,0.07,-0.45,0.06,0.3,-0.03,0.12,-0.03,0.3,1.2,1.22,0.07,1.22,0.26,0.8,0.24,0.21,0.24,0.4,1.3,1.14,0.01,1.14,0.56,1.4,1.2,0.28,1.2,0.54,1.4,0.77,0.18,0.77,0.54,0.5,0.2,0.05,0.2,0.42,0.9,0.68,0.01,0.68,0.53,0.3,-0.11,0.01,-0.11,0.11
10.0,3.13,4.849,10.57,0.02,-1.8,39.1,12.436,5.723,19.032,1.949,19.837,-19.742,96.008,-20.161,98.103,0.8,0.03,0.25,0.03,0.49,0.5,0.36,0.13,0.36,0.23,0.5,-0.45,0.07,-0.45,0.06,0.3,-0.03,0.12,-0.03,0.3,1.2,1.22,0.07,1.22,0.26,0.8,0.24,0.21,0.24,0.4,1.3,1.14,0.01,1.14,0.56,1.4,1.2,0.28,1.2,0.54,1.4,0.77,0.18,0.77,0.54,0.5,0.2,0.05,0.2,0.42,0.9,0.68,0.01,0.68,0.53,0.3,-0.11,0.01,-0.11,0.11
11.0,3.18,4.887,11.59,0.02,-2.02,40.4,13.248,5.154,21.945,-0.85,20.633,-20.359,95.986,-21.153,98.29,0.8,-0.03,0.23,-0.03,0.64,0.5,0.36,0.13,0.36,0.23,0.5,-0.49,0.11,-0.49,0.04,0.3,-0.04,0.1,-0.04,0.28,1.3,1.25,0.06,1.25,0.1,0.8,0.15,0.18,0.15,0.39,1.3,1.12,0.04,1.12,0.51,1.3,1.2,0.29,1.2,0.47,1.4,0.77,0.18,0.77,0.54,0.5,0.18,0.05,0.18,0.42,0.9,0.63,0.01,0.63,0.53,0.3,-0.15,0.03,-0.15,0.08
12.0,3.24,4.925,12.6,0.01,-2.25,40.9,13.971,4.333,25.967,-3.716,20.854,-20.634,95.947,-21.987,98.435,0.8,-0.03,0.23,-0.03,0.64,0.5,0.36,0.13,0.36,0.23,0.5,-0.49,0.11,-0.49,0.04,0.3,-0.04,0.1,-0.04,0.28,1.3,1.25,0.06,1.25,0.1,0.8,0.15,0.18,0.15,0.39,1.3,1.12,0.04,1.12,0.51,1.3,1.2,0.29,1.2,0.47,1.4,0.77,0.18,0.77,0.54,0.5,0.18,0.05,0.18,0.42,0.9,0.63,0.01,0.63,0.53,0.3,-0.15,0.03,-0.15,0.08
13.0,3.31,4.963,13.61,0.0,-2.48,41.4,14.691,3.514,29.979,-6.574,21.076,-20.907,95.907,-22.819,98.587,0.8,-0.03,0.23,-0.03,0.64,0.5,0.36,0.13,0.36,0.23,0.5,-0.49,0.11,-0.49,0.04,0.3,-0.04,0.1,-0.04,0.28,1.3,1.25,0.06,1.25,0.1,0.8,0.15,0.18,0.15,0.39,1.3,1.12,0.04,1.12,0.51,1.3,1.2,0.29,1.2,0.47,1.4,0.77,0.18,0.77,0.54,0.5,0.18,0.05,0.18,0.42,0.9,0.63,0.01,0.63,0.53,0.3,-0.15,0.03,-0.15,0.08
14.0,3.38,5.001,14.61,-0.01,-2.71,40.9,15.098,2.802,32.707,-8.52,20.535,-20.877,95.816,-23.427,98.642,0.8,-0.03,0.23,-0.03,0.64,0.5,0.36,0.13,0.36,0.23,0.5,-0.49,0.11,-0.49,0.04,0.3,-0.04,0.1,-0.04,0.28,1.3,1.25,0.06,1.25,0.1,0.8,0.15,0.18,0.15,0.39,1.3,1.12,0.04,1.12,0.51,1.3,1.2,0.29,1.2,0.47,1.4,0.77,0.18,0.77,0.54,0.5,0.18,0.05,0.18,0.42,0.9,0.63,0.01,0.63,0.53,0.3,-0.15,0.03,-0.15,0.08
15.0,3.45,5.038,15.61,-0.02,-2.96,40.1,15.136,2.258,34.922,-10.061,19.779,-20.836,95.778,-24.181,98.787,0.8,-0.03,0.23,-0.03,0.64,0.5,0.36,0.13,0.36,0.23,0.5,-0.49,0.11,-0.49,0.04,0.3,-0.04,0.1,-0.04,0.28,1.3,1.25,0.06,1.25,0.1,0.8,0.15,0.18,0.15,0.39,1.3,1.12,0.04,1.12,0.51,1.3,1.2,0.29,1.2,0.47,1.4,0.77,0.18,0.77,0.54,0.5,0.18,0.05,0.18,0.42,0.9,0.63,0.01,0.63,0.53,0.3,-0.15,0.03,-0.15,0.08
16.0,3.51,5.076,16.61,-0.03,-3.23,39.4,14.88,1.852,36.886,-11.386,18.961,-20.84,95.8,-25.115,99.041,0.8,-0.03,0.23,-0.03,0.64,0.5,0.36,0.13,0.36,0.23,0.5,-0.49,0.11,-0.49,0.04,0.3,-0.04,0.1,-0.04,0.28,1.3,1.25,0.06,1.25,0.1,0.8,0.15,0.18,0.15,0.39,1.3,1.12,0.04,1.12,0.51,1.3,1.2,0.29,1.2,0.47,1.4,0.77,0.18,0.77,0.54,0.5,0.18,0.05,0.18,0.42,0.9,0.63,0.01,0.63,0.53,0.3,-0.15,0.03,-0.15,0.08
17.0,3.59,5.113,17.61,-0.04,-3.49,38.6,14.625,1.448,38.845,-12.707,18.144,-20.845,95.821,-26.048,99.302,0.8,-0.03,0.23,-0.03,0.64,0.5,0.36,0.13,0.36,0.23,0.5,-0.49,0.11,-0.49,0.04,0.3,-0.04,0.1,-0.04,0.28,1.3,1.25,0.06,1.25,0.1,0.8,0.15,0.18,0.15,0.39,1.3,1.12,0.04,1.12,0.51,1.3,1.2,0.29,1.2,0.47,1.4,0.77,0.18,0.77,0.54,0.5,0.18,0.05,0.18,0.42,0.9,0.63,0.01,0.63,0.53,0.3,-0.15,0.03,-0.15,0.08
18.0,3.66,5.151,18.6,-0.04,-3.76,38.2,14.146,1.149,38.559,-11.413,17.471,-21.086,95.865,-27.114,99.63,0.8,-0.06,0.23,-0.06,0.7,0.5,0.36,0.13,0.36,0.23,0.6,-0.54,0.14,-0.54,0.0,0.4,-0.04,0.04,-0.04,0.31,1.0,0.99,0.29,0.99,0.18,0.8,0.08,0.16,0.08,0.36,1.3,1.13,0.06,1.13,0.46,1.4,1.27,0.24,1.27,0.41,1.3,0.76,0.27,0.76,0.48,0.5,0.17,0.04,0.17,0.43,0.9,0.62,0.06,0.62,0.57,0.3,-0.15,0.04,-0.15,0.06
